Symbol,Bullish,Bearish,Neutral
HBAR,56,2,39
MEDIA,30,7,60
KSM,26,4,69
OCEAN,42,8,44
NU,44,3,51
SAND,33,9,56
MOODENG,74,8,15
ARB,44,2,53
MIR,34,3,63
DREP,39,8,47
MDT,48,5,46
CORECHAIN,10,0,7
VGX,59,13,26
STORJ,15,8,77
FOX,54,1,41
RENDER,30,6,62
CRV,52,2,45
OP,30,8,61
AERO,45,3,44
ALCX,55,2,42
BCH,27,9,64
FLOKI,37,3,58
GST,29,4,65
BTC,38,7,54
ZETA,22,1,77
AKT,34,5,59
A8,4,1,6
T,37,10,51
CHZ,51,3,43
ORN,21,2,77
DAR,42,8,48
BOND,45,6,47
LSETH,38,3,57
KAVA,45,5,47
SYN,33,6,59
OGN,35,4,58
EURC,46,6,45
BTRST,31,0,25
BAT,41,4,55
SEAM,24,7,69
SUSHI,28,5,65
PRO,63,4,31
FIDA,35,1,64
HIGH,35,8,57
RONIN,40,3,52
SUI,50,5,39
HNT,28,4,64
JTO,31,3,52
DYP,55,5,39
TIA,43,7,49
SNT,35,4,59
XRP,34,13,43
G,38,7,55
NEON,38,6,50
TRUMP,20,6,71
TONE,51,8,38
FLR,24,7,63
NEAR,33,9,55
BADGER,41,8,45
RARE,34,1,65
NCT,27,2,71
GRT,51,2,45
SWELL,39,3,53
MASK,46,3,48
SUKU,35,13,50
MSOL,67,1,32
REP,66,3,31
GHST,35,1,62
AUCTION,42,7,50
KRL,55,0,45
COVAL,20,11,68
VET,47,4,46
ZEN,43,1,44
AST,41,5,43
BOBA,55,5,37
HOPR,54,14,30
QNT,26,8,64
STX,35,6,58
MAGIC,38,7,51
PERP,25,1,73
REQ,6,3,66
FLOW,41,7,49
RLY,58,6,32
RAI,45,7,44
WIF,76,3,21
PYUSD,31,2,66
ACH,19,6,74
MTL,46,9,44
C98,42,6,52
ATA,22,6,68
GIGA,78,2,17
MOG,48,5,38
ATOM,39,5,54
POND,40,3,56
SHPING,34,1,26
DEXT,35,3,61
SPA,75,1,23
DIMO,54,4,37
FIL,55,4,41
TBTC,4,11,83
ONDO,45,6,44
ANKR,38,3,58
LRDS,11,0,20
MATH,23,13,59
QUICK,33,7,56
VOXEL,37,0,62
ENJ,22,0,78
PNG,36,10,50
WELL,38,5,54
POLY,33,11,56
WAXL,33,2,65
POWR,45,3,50
NKN,45,7,43
KEEP,42,2,52
SYLO,41,8,46
ALEO,41,4,46
CBETH,25,8,60
ELA,48,6,45
ICP,25,7,65
ETC,41,5,54
COMP,44,7,48
GNO,45,5,50
GMT,43,4,48
MANA,35,7,58
MUSD,36,2,60
AUDIO,43,8,49
OMNI,31,3,64
SKL,52,2,45
RNDR,22,13,62
AXS,43,4,50
NEST,43,7,48
DDX,26,1,20
MUSE,37,7,34
ACX,33,4,63
INV,16,1,83
LPT,36,8,54
MOBILE,27,6,62
AIOZ,32,3,63
KNC,8,1,91
MCO2,23,3,74
LIT,45,1,53
JASMY,32,5,60
IMX,40,2,54
FX,29,8,62
AERGO,42,3,52
AAVE,31,14,50
MLN,4,0,96
CLV,37,4,57
LQTY,46,5,48
AMP,33,7,59
CVX,9,4,87
XCN,41,3,46
PAX,21,1,76
EUR,25,6,66
VARA,37,7,51
GTC,58,14,28
UST,57,8,35
MONA,38,0,14
FIS,48,5,45
SAFE,32,7,54
COW,44,8,41
QSP,37,4,59
POLS,48,2,49
SEI,32,16,47
XLM,60,1,37
CGLD,22,4,71
SUPER,34,6,60
CVC,66,4,27
PRIME,35,8,50
HONEY,44,8,48
PRCL,18,1,38
BLUR,30,6,62
BIT,49,5,46
COTI,43,7,46
ALGO,43,1,55
GNT,35,4,58
GAL,41,5,54
IO,31,6,61
ALEPH,40,7,51
AVAX,37,5,56
QI,46,2,50
AVT,54,1,45
EIGEN,33,3,63
CELR,44,1,53
UNFI,28,5,67
XYO,35,11,44
00,33,10,52
OMG,54,5,36
RBN,43,2,55
VTHO,56,2,38
MOVE,28,6,65
EOS,20,0,79
ENS,39,11,50
USDT,38,11,48
YFI,43,2,52
USDC,36,4,55
UPI,84,0,16
ILV,29,3,65
WAMPL,27,3,70
LRC,27,11,59
MINA,43,6,43
ABT,30,2,67
SWFTC,47,2,44
SD,32,2,62
TRIBE,35,6,53
AXL,38,4,57
XTZ,65,2,33
DIA,46,8,44
OXT,66,2,32
MNDE,22,2,44
AURORA,49,5,46
HFT,57,3,40
DEGEN,36,5,54
BIGTIME,40,7,49
PLU,29,7,62
USD,33,7,55
GODS,39,5,51
LDO,56,2,42
POL,66,2,30
GLM,25,7,66
INJ,22,8,69
CTX,30,2,64
TURBO,35,8,53
MXC,45,2,49
ANT,53,3,44
ACS,24,7,68
TOSHI,55,1,30
YFII,83,0,17
LOKA,31,3,64
FET,41,5,51
STRK,40,3,55
TVK,55,12,33
1INCH,47,2,49
GBP,33,6,59
AGLD,42,4,54
ETH,42,4,47
METIS,29,0,71
PLA,46,9,43
RAD,67,1,32
ORCA,33,7,57
RLC,33,15,49
LCX,25,4,70
RGT,52,8,37
FORTH,44,11,43
DESO,36,3,60
APT,35,4,59
MKR,24,2,72
ZEC,30,4,66
PIRATE,47,5,42
ALICE,38,8,47
GFI,53,5,42
ERN,9,4,87
BUSD,40,26,28
BICO,57,5,37
TRAC,55,3,41
XMON,36,3,61
UNI,34,4,61
EGLD,24,1,75
DASH,36,4,55
ARPA,33,9,56
NMR,43,1,55
JUP,37,5,55
SNX,30,6,63
LOOM,34,3,55
BLAST,37,4,56
OSMO,27,20,51
ZETACHAIN,23,2,75
VELO,43,3,44
DNT,52,5,43
ASM,23,5,71
MPL,72,3,25
SHIB,58,2,37
ME,16,4,77
OOKI,50,1,42
RARI,46,5,49
BLZ,49,1,48
PRQ,21,1,77
WBTC,31,5,63
PNUT,56,3,38
RPL,36,1,63
DRIFT,35,8,56
TRB,29,2,68
CRO,71,5,24
TRU,37,4,54
APE,36,5,56
DOT,30,5,61
FORT,56,4,39
DAI,43,5,46
FARM,38,3,56
SHDW,33,9,56
ADA,39,6,54
WCFG,47,7,45
API3,24,11,65
IOTX,37,6,24
KARRAT,66,3,28
MULTI,29,2,68
PEPE,60,6,23
SPELL,32,8,57
UMA,34,16,45
LINK,42,2,54
INDEX,27,5,68
GALA,59,3,34
REN,51,4,37
ARKM,27,1,71
IDEX,35,2,60
ROSE,33,11,54
LTC,47,6,45
STG,38,5,56
ZK,7,3,89
BAND,41,10,46
BONK,54,6,36
SOL,35,4,57
CRPT,71,0,29
ZRO,30,2,67
WLUNA,44,1,55
CTSI,36,1,61
DOGE,60,3,32
TIME,46,5,49
BAL,39,8,48
BNT,46,4,50
TNSR,26,0,17
MATIC,32,7,60
